date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
02-01-2014,9.986667,10.165333,9.77,10.006667,92826000,55.34407089,54.44011785,-37.37364406,15.21342242,9.68210666,9.820166824,10.49423998,9.67428442,0.169471611,9.74079995,0.395333,0.402641165,0.447549648,9.970667
03-01-2014,10,10.146,9.906667,9.970667,70425000,53.74262871,53.82152101,-81.30447089,17.48112987,9.6528,9.82606902,10.49569332,9.680190109,0.162623023,9.77616665,0.239333,0.379311427,0.432677031,9.8
06-01-2014,10,10.026667,9.682667,9.8,80416500,46.3281744,50.8704096,-123.427544,-37.82470804,9.62946666,9.825046668,10.49673999,9.682577132,0.141789605,9.7979,0.344,0.374266938,0.426342957,9.957333
07-01-2014,9.841333,10.026667,9.683333,9.957333,75511500,53.26303664,53.40675032,-84.78465082,-20.77943148,9.59774666,9.830234552,10.50340665,9.688050546,0.136402071,9.8379,0.343334,0.369847947,0.420413746,10.085333
08-01-2014,9.923333,10.246667,9.917333,10.085333,92448000,58.36866024,55.42302578,60.79966224,43.57055866,9.57323998,9.840238755,10.51114665,9.695963871,0.140837456,9.87016665,0.329334,0.36406024,0.41390805,9.835333
09-01-2014,10.166667,10.228667,9.79,9.835333,80730000,46.73519299,50.7992293,-19.6813938,0.307787238,9.55279998,9.840046367,10.51483331,9.698739591,0.122764467,9.88796665,0.438667,0.374718348,0.415676546,9.714667
10-01-2014,9.897333,9.926667,9.483333,9.714667,111691500,42.01924128,48.68788538,-149.8968265,-95.0575794,9.52779998,9.835129373,10.51537998,9.69905677,0.097579915,9.9082,0.443334,0.384520584,0.417652078,9.289333
13-01-2014,9.718667,9.8,9.188,9.289333,94741500,29.6961948,42.05306223,-174.2346917,-186.7602042,9.5012933,9.813724943,10.50855331,9.690898429,0.042806628,9.8811,0.612,0.417017644,0.431534073,10.751333
14-01-2014,9.366667,10.8,9.111333,10.751333,414105000,67.69233627,61.4827454,124.6411408,83.58407544,9.50306662,9.85049496,10.51749331,9.712011278,0.116032041,9.9265,1.688667,0.598681838,0.521329282,10.942
15-01-2014,11.23,11.482,10.806667,10.942,306984000,70.14716499,63.21502708,194.8795893,276.0370868,9.50567996,9.89330028,10.52217998,9.73649725,0.187289979,9.98046665,0.730667,0.617536861,0.536281977,11.398
16-01-2014,10.833333,11.513333,10.826667,11.398,179391000,75.36910554,67.03366002,127.4262253,232.864672,9.50003996,9.952309703,10.52826665,9.769570088,0.277360557,10.04216665,0.686666,0.627412452,0.547023693,11.334
17-01-2014,11.346,11.546667,11.196667,11.334,138093000,73.27046898,65.99811538,90.58240177,175.4864723,9.4909733,10.00649504,10.53212665,9.800707435,0.339662457,10.1156,0.35,0.587782102,0.532950572,11.778667
21-01-2014,11.416,11.819333,11.387333,11.778667,146020500,78.19256588,69.5211294,86.92781442,154.1313502,9.52499998,10.07599371,10.53857332,9.840071405,0.4200757,10.2354667,0.485333,0.573146516,0.529549316,11.904
22-01-2014,11.854,12.021333,11.650667,11.904,105339000,79.43767757,70.4504747,88.90277312,132.7544618,9.57671998,10.14768194,10.54664665,9.881142192,0.488288416,10.35320005,0.370666,0.544220728,0.518200508,12.1
23-01-2014,11.815333,12.158667,11.561333,12.1,118011000,81.37756946,71.89377302,95.6759371,112.4644724,9.63478664,10.22424519,10.55693998,9.925291668,0.551802214,10.47970005,0.597334,0.551808338,0.5238529,11.64
24-01-2014,11.856667,12.032,11.568667,11.64,114964500,64.67172727,63.99372984,45.31586474,81.82819469,9.6746533,10.27976622,10.56067331,9.959406631,0.558580236,10.55700005,0.531333,0.54888329,0.524387193,11.308
27-01-2014,11.677333,11.861333,10.980667,11.308,130746000,55.14026467,58.95817686,-62.2600521,45.93036775,9.71707996,10.32008996,10.56112664,9.986235048,0.531040735,10.6040667,0.880666,0.59628082,0.549835679,11.892
28-01-2014,11.433333,11.932,11.4,11.892,91401000,65.55766267,64.28234893,27.3934709,67.77944983,9.76998662,10.38173475,10.56629997,10.02414416,0.549999351,10.69493335,0.624,0.600240703,0.555133131,11.682
29-01-2014,11.686667,11.939333,11.542,11.682,89032500,59.73789433,61.20751734,-0.445171095,60.46666122,9.82015996,10.43272654,10.5698333,10.05711894,0.541833032,10.7709,0.397333,0.571253888,0.543861693,12.189333
30-01-2014,11.866667,12.318667,11.800667,12.189333,128475000,67.79569878,65.50086716,135.6765791,91.11796819,9.88334662,10.50161437,10.5804133,10.09952499,0.569731192,10.8789333,0.636667,0.580598618,0.550490644,12.094
31-01-2014,11.923333,12.4,11.900667,12.094,97632000,64.94618462,64.06600179,102.1485542,92.24798061,9.96311996,10.56406199,10.59421997,10.13918822,0.57749115,10.98329995,0.499333,0.568989244,0.546836526,11.807333
